#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2013-06-13T08:16:57 [V1.97 (28-Nov-2012)]
#   In case of problem. please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.97 (28-Nov-2012)	
#INFO	-ref=VIZ51b97f734b13	
#INFO	-out.max=unlimited	
#INFO	queryParameters=28	
#-oc.form=sexa
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ._DEJ
#-sort=_r
#-nav=cat:II/237&tab:{II/237/colors}&cat:II/66&key:source=Ducati&HTTPPRM:&&-ref=VIZ51b97f734b13&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ._DEJ&-sort=_r&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=II/237/colors
#-order=I
#-out=recno
#-out=Name
#-out=Doub
#-out=Var
#-out=r_SpType
#-out=SpType
#-out=RAJ1950
#-out=DEJ1950
#-out=Vmag
#-out=U-V
#-out=B-V
#-out=R-V
#-out=I-V
#-out=_RA.icrs
#-out=_DE.icrs
#Simbad=Simbad
#
#
#RESOURCE=yCat_2237
#Name: II/237
#Title: Stellar Photometry in Johnson's 11-color system (Ducati. 2002)
#Coosys	J1950:	eq_FK5 J1950
#Table	II_237_colors:
#Name: II/237/colors
#Title: Photometric data in the UBVRIJHKLMN colors
#Column	_RAJ2000	(A10)	Right ascension (FK5. Equinox=J2000.0) (computed by VizieR. not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(A9)	Declination (FK5. Equinox=J2000.0) (computed by VizieR. not part of the original data)	[ucd=pos.eq.dec]
#Column	recno	(I8)	Record number within the original table (starting from 1)	[ucd=meta.record]
#Column	Name	(a12)	star identification	[ucd=meta.id]
#Column	Doub	(A1)	[D13] D if double. 1 for component 1 of the system 3 for component 3 of the system	[ucd=meta.code.multip]
#Column	Var	(A1)	[V] V if variable	[ucd=meta.code;src.var]
#Column	r_SpType	(A1)	[MCYBK FGHPSTW] Source of spectral type (1)	[ucd=meta.ref;pos.frame]
#Column	SpType	(a15)	Spectral type/luminosity class	[ucd=src.spType]
#Column	RAJ1950	(A10)	Right ascension J1950	[ucd=pos.eq.ra;meta.main]
#Column	DEJ1950	(A9)	Declination J1950	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	V magnitude	[ucd=phot.mag;em.opt.V]
#Column	U-V	(F5.2)	? (U-V) color index	[ucd=phot.color;em.opt.U;em.opt.V]
#Column	B-V	(F5.2)	? (B-V) color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	R-V	(F5.2)	? (R-V) color index	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	I-V	(F6.2)	? (I-V) color index	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	_RA.icrs	(A10)	Right ascension (ICRS) (computed by VizieR. not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A9)	Declination (ICRS) (computed by VizieR. not part of the original data)	[ucd=pos.eq.dec]                                                                                          
#Column Bad Phot *      * if bad photometry (use it only for astrometry)                                                                                                         
#Column CommonName
recno ;Name          ;  _RAJ2000  ; _DEJ2000 ; RAJ1950   ; DEJ1950   ; Vmag   ; U-V    ; B-V    ; R-V    ; I-V    ; Doub; Var ;r_SpTy; SpType         ; Bad Phot (*); CommonName
  1214;  HD  74196   ; 08 40 17.5; -53 00 55 ; 08 38 51.6; -52 50 12 ;    5.61;   -0.64;   -0.14;        ;        ;     ;     ; Y    ; B7   V      n  ;  ;
  1215;  HD  90254   ; 10 25 15.1; +08 47 06 ; 10 22 37.1; +09 02 21 ;    5.61;    3.59;    1.62;        ;        ;     ; V   ; Y    ; M3   IIIabs    ;  ;
  1216;  HD 150898   ; 16 47 19.5; -58 20 27 ; 16 43 03.3; -58 15 06 ;    5.61;   -0.91;   -0.06;       0;    0.01;     ;     ; M    ; B0   Ia/Iab    ;  ;
  1217;  HD 154445   ; 17 05 32.2; -00 53 30 ; 17 02 57.5; -00 49 29 ;    5.61;   -0.51;    0.12;   -0.22;   -0.27;     ;     ; Y    ; B1   V         ;  ;
  1218;  HD 224062   ; 23 54 46.6; +00 06 37 ; 23 52 12.9; -00 10 05 ;    5.61;     3.1;    1.59;        ;        ;     ;     ; Y    ; M5   III       ;  ;
  1219;  HD 125835   ; 14 25 06.3; -68 11 41 ; 14 20 55.5; -67 58 08 ;    5.62;    0.49;    0.49;   -0.44;   -0.84;     ;     ; M    ; A1   Iab/Ib    ;  ;
  1220;  HD 175443   ; 18 54 13.0; +27 54 36 ; 18 52 13.7; +27 50 45 ;    5.62;        ;    1.35;        ;        ;     ;     ; Y    ; K4   III       ;  ;
  1221;  HD 195050   ; 20 27 34.2; +38 26 28 ; 20 25 42.9; +38 16 30 ;    5.62;    0.12;    0.06;        ;        ;     ;     ; Y    ; A3   V         ;  ;
  1222;  HD 206267AB ; 21 38 57.5; +57 29 20 ; 21 37 24.3; +57 15 44 ;    5.62;   -0.53;    0.21;        ;        ;     ;     ; Y    ; O6.5 V  ((f))  ;  ;
  1223;  HD 212132   ; 22 23 06.8; -45 55 38 ; 22 20 04.2; -46 10 49 ;    5.62;    0.38;    0.36;        ;        ;     ;     ; M    ; F0   V         ;  ;
  1224;  HD  10780   ; 01 47 40.4; +63 51 20 ; 01 44 06.3; +63 36 23 ;    5.63;    1.21;    0.81;   -0.64;   -1.03;     ;     ; Y    ; K0   V         ;  ;
  1225;  HD 108821   ; 12 30 17.4; -23 41 46 ; 12 27 40.0; -23 25 12 ;    5.63;     3.7;    1.67;        ;        ;     ;     ; M    ; M0   III       ;  ;
  1226;  HD 130144   ; 14 46 06.1; +15 07 51 ; 14 43 44.4; +15 20 25 ;    5.63;    2.88;    1.57;        ;        ;     ;     ; Y    ; M5   IIIab     ;  ;
  1227;  HD 149121   ; 16 32 35.6; +05 31 15 ; 16 30 07.9; +05 37 33 ;    5.63;   -0.24;   -0.06;        ;        ;     ;     ; Y    ; B9.5 III       ;  ;
  1228;  HD 188209   ; 19 51 58.9; +47 01 38 ; 19 50 28.5; +46 53 50 ;    5.63;   -1.02;   -0.08;   -0.09;    0.01;     ;     ; Y    ; O9.5 Ia        ;  ;
  1229;  HD  10390   ; 01 42 03.2; +35 14 45 ; 01 39 09.5; +34 59 38 ;    5.64;   -0.27;   -0.07;        ;        ;     ;     ; Y    ; B9   IV/V      ;  ;
  1230;  HD  23324   ; 03 45 09.6; +24 50 23 ; 03 42 10.3; +24 41 01 ;    5.64;   -0.43;   -0.07;   -0.03;    0.04;     ;     ; Y    ; B8   V         ;  ;
  1231;  HD  72905   ; 08 39 11.8; +65 01 10 ; 08 34 46.6; +65 11 44 ;    5.64;    0.69;    0.62;   -0.52;   -0.85;     ;     ; Y    ; G1.5 Vb        ;  ;
  1232;  HD 193807   ; 20 23 53.0; -42 25 22 ; 20 20 29.5; -42 35 05 ;    5.64;     0.3;     0.2;        ;        ;     ;     ; M    ; A5   V         ;  ;
  1233;  HD 199478   ; 20 55 49.7; +47 25 03 ; 20 54 08.3; +47 13 30 ;    5.64;    0.15;    0.48;   -0.48;   -0.86;     ;     ; Y    ; B8   Ia        ;  ;
  1234;  HD  60437   ; 07 36 31.7; +46 10 49 ; 07 32 54.1; +46 17 32 ;    5.65;    3.46;    1.56;        ;        ;     ;     ; Y    ; M0   III       ;  ;
  1235;  HD 136352   ; 15 21 56.2; -48 18 48 ; 15 18 25.1; -48 08 04 ;    5.65;     0.7;    0.65;        ;        ;     ;     ; M    ; G4   V         ;  ;
  1236;  HD 138800A  ; 15 40 21.2; -73 26 46 ; 15 34 45.7; -73 17 02 ;    5.65;   -0.42;   -0.04;        ;        ;     ;     ; M    ; B7   III/IV    ;  ;
  1237;  HD 150136AB ; 16 41 20.2; -48 45 44 ; 16 37 35.0; -48 39 59 ;    5.65;   -0.67;    0.13;        ;        ;     ;     ; M    ; O5             ;  ;
  1238;  HD 190603   ; 20 04 36.0; +32 13 06 ; 20 02 38.3; +32 04 31 ;    5.65;    0.08;    0.54;   -0.52;   -0.94;    1; V   ; Y    ; B1.5 Ia        ;  ;
  1239;  HD 213323   ; 22 30 01.6; +32 34 21 ; 22 27 44.3; +32 18 57 ;    5.65;   -0.15;   -0.04;        ;        ;     ;     ; Y    ; B9.5 V         ;  ;
  1240;  HD  74521   ; 08 44 45.0; +10 04 53 ; 08 42 02.2; +10 15 49 ;    5.66;   -0.36;   -0.11;        ;        ;     ; V   ; Y    ; A1       EuCr p;  ;
  1241;  HD 106690   ; 12 16 07.4; +40 39 37 ; 12 13 37.4; +40 56 17 ;    5.66;    3.51;    1.55;        ;        ;     ;     ; Y    ; M1   III + F7V ;  ;
  1242;  HD 214484   ; 22 38 51.3; -33 04 52 ; 22 36 02.2; -33 20 30 ;    5.66;        ;    0.05;        ;        ;     ;     ; M    ; A0   V         ;  ;
  1243;  HD 115046   ; 13 14 31.0; +11 19 56 ; 13 12 01.5; +11 35 47 ;    5.67;    3.36;     1.5;        ;        ;     ;     ; Y    ; M0   III       ;  ;
  1244;  HD 164646   ; 17 59 56.0; +45 30 05 ; 17 58 30.3; +45 30 08 ;    5.67;    3.48;    1.57;        ;        ;     ;     ; Y    ; M0   IIIab     ;  ;
  1245;  HD 214168   ; 22 35 52.2; +39 38 04 ; 22 33 38.5; +39 22 30 ;    5.67;   -1.06;   -0.15;    0.21;    0.39;    1;     ; Y    ; B2   V       e ;  ;
  1246;  HD  12953   ; 02 08 40.3; +58 25 24 ; 02 05 09.7; +58 11 12 ;    5.68;     0.6;    0.61;   -0.59;   -1.09;     ; V   ; Y    ; A1   Ia        ;  ;
  1247;  HD  33664   ; 05 11 22.7; -11 50 58 ; 05 09 02.7; -11 54 34 ;    5.68;    2.69;    1.46;        ;        ;     ; V   ; Y    ; M6   III       ;  ;
  1248;  HD  35007A  ; 05 21 31.7; -00 24 58 ; 05 18 58.5; -00 27 51 ;    5.68;   -0.77;   -0.12;        ;        ;     ;     ; Y    ; B3   V         ;  ;
  1249;  HD 150168   ; 16 41 40.1; -49 39 04 ; 16 37 52.6; -49 33 20 ;    5.68;    -0.8;   -0.01;   -0.04;   -0.08;     ;     ; M    ; B1   Iab/Ib    ;  ;
  1250;  HD 190299   ; 20 04 23.0; -00 42 26 ; 20 01 48.5; -00 50 59 ;    5.68;    2.65;     1.3;        ;        ;     ;     ; Y    ; K4   III       ;  ;
  1251;  HD 221006   ; 23 29 00.6; -63 06 36 ; 23 26 08.2; -63 23 08 ;    5.68;        ;   -0.17;        ;        ;     ;     ; M    ; A        Si   p;  ;
  1252;  HD 221950   ; 23 36 23.5; +02 06 02 ; 23 33 50.0; +01 49 26 ;    5.68;    0.36;    0.44;        ;        ;     ;     ; Y    ; F6   Vb vw     ;  ;
  1253;  HD  20791   ; 03 21 06.5; +03 40 32 ; 03 18 29.6; +03 29 47 ;    5.69;    1.73;    0.97;        ;        ;     ;     ; Y    ; G8.5 III       ;  ;
  1254;  HD  23016   ; 03 42 18.8; +19 42 00 ; 03 39 25.5; +19 32 28 ;    5.69;   -0.28;   -0.01;        ;        ;     ;     ; Y    ; B9   V      ne ;  ;
  1255;  HD  35299   ; 05 23 42.2; -00 09 33 ; 05 21 08.7; -00 12 17 ;    5.69;    -1.1;   -0.21;    0.08;    0.27;     ;     ; Y    ; B1.5 V         ;  ;
  1256;  HD  36576   ; 05 33 31.5; +18 32 24 ; 05 30 35.6; +18 30 22 ;    5.69;   -0.75;    0.01;        ;        ;     ; V   ; Y    ; B2   IV/V    e ;  ;
  1257;  HD  47070   ; 06 38 39.5; +39 23 31 ; 06 35 11.6; +39 26 12 ;    5.69;    2.91;    1.35;        ;        ;     ;     ; Y    ; K5   III       ;  ;
  1258;  HD  52005   ; 07 00 15.7; +16 04 43 ; 06 57 23.3; +16 08 57 ;    5.69;     3.4;    1.63;   -1.25;    -2.1;     ;     ; Y    ; K3   Ib        ;  ;
  1259;  HD 117716   ; 13 32 36.1; -28 41 32 ; 13 29 48.3; -28 26 08 ;    5.69;        ;    0.04;        ;        ;     ;     ; Y    ; A1   V      n  ;  ;
  1260;  HD 146388   ; 16 15 28.8; +18 48 32 ; 16 13 15.5; +18 55 58 ;    5.69;    2.13;    1.12;        ;        ;     ;     ; Y    ; K3   III       ;  ;
  1261;  HD 194298   ; 20 21 11.3; +63 58 47 ; 20 20 29.0; +63 49 09 ;    5.69;        ;    1.56;        ;        ;     ;     ; Y    ; K5   III       ;  ;
  1262;  HD   3980   ; 00 41 45.7; -56 30 07 ; 00 39 29.9; -56 46 34 ;     5.7;        ;     0.2;        ;        ;     ; V   ; M    ; A       SrEuCrp;  ;
  1263;  HD  13596   ; 02 13 02.9; +15 16 47 ; 02 10 19.3; +15 02 46 ;     5.7;     3.5;    1.55;   -1.22;    -2.2;     ;     ; Y    ; M0   III       ;  ;
  1264;  HD  26670   ; 04 16 53.5; +61 51 01 ; 04 12 28.1; +61 43 36 ;     5.7;   -0.65;   -0.14;        ;        ;     ;     ; Y    ; B5   V      n  ;  ;
  1265;  HD  57167   ; 07 19 27.6; -16 23 34 ; 07 17 12.3; -16 17 58 ;     5.7;    0.39;    0.35;        ;        ;     ; V   ; M    ; F2   III/IV    ;  ;
  1266;  HD  60855   ; 07 36 03.9; -14 29 32 ; 07 33 45.9; -14 22 49 ;     5.7;   -0.83;   -0.12;    0.02;    0.11;     ;     ; M    ; B2.5 V      n  ;  ;
  1267;  HD 108502   ; 12 27 35.1; +55 42 45 ; 12 25 12.7; +55 59 21 ;     5.7;    3.47;    1.55;        ;        ;     ;     ; Y    ; M2   IIIb      ;  ;
  1268;  HD 145713   ; 16 11 37.9; +23 29 40 ; 16 09 30.1; +23 37 21 ;     5.7;    3.12;    1.56;        ;        ;     ;     ; Y    ; M4.5 IIIa      ;  ;
  1269;  HD 159176   ; 17 34 42.3; -32 34 55 ; 17 31 26.2; -32 32 58 ;     5.7;   -0.82;    0.04;        ;        ; D   ;     ; Y    ; O6   V + O6 V  ;  ;
  1270;  HD  20234   ; 03 12 33.0; -57 19 18 ; 03 11 16.9; -57 30 29 ;    5.71;        ;    2.22;   -1.93;   -3.31;     ; V   ; M    ; C              ;  ;
  1271;  HD  22468   ; 03 36 47.2; +00 35 23 ; 03 34 13.0; +00 25 32 ;    5.71;    1.38;    0.92;        ;        ;     ; V   ; Y    ; G9   V         ;  ;
  1272;  HD  55870   ; 07 15 57.2; +27 53 49 ; 07 12 49.9; +27 59 09 ;    5.71;    3.63;    1.63;        ;        ;     ;     ; Y    ; M1   IIIa      ;  ;
  1273;  HD  88366   ; 10 09 22.5; -61 32 59 ; 10 07 46.1; -61 18 13 ;    5.71;    3.67;    1.92;   -0.51;   -2.07;     ; V   ; C    ; M2.5 III     e ;  ;
  1274;  HD 109896   ; 12 38 22.7; +01 51 16 ; 12 35 49.3; +02 07 45 ;    5.71;    3.42;     1.6;   -1.56;   -2.98;     ; V   ; Y    ; M3   IIIbCa0.5 ;  ;
  1275;  HD 121190   ; 13 55 12.2; -52 09 37 ; 13 51 57.7; -51 54 55 ;    5.71;   -0.38;   -0.08;        ;        ;     ;     ; M    ; B9   V         ;  ;
  1276;  HD 132933   ; 15 01 48.8; -00 08 27 ; 14 59 15.0; +00 03 20 ;    5.71;    3.08;    1.52;        ;        ;     ;     ; Y    ; M0.5 IIb       ;  ;
  1277;  HD 141527   ; 15 48 34.3; +28 09 23 ; 15 46 30.6; +28 18 31 ;    5.71;    0.73;     0.6;   -0.45;   -0.63;     ; V   ; Y    ; G0   I       ep;  ;
  1278;  HD 196725   ; 20 38 43.9; +13 18 52 ; 20 36 22.3; +13 08 16 ;    5.71;     3.2;    1.52;   -1.08;   -1.84;     ;     ; Y    ; K3   Ib        ;  ;
  1279;  HD   2637   ; 00 30 02.2; -03 57 25 ; 00 27 29.1; -04 13 59 ;    5.72;    3.47;    1.56;        ;        ;     ;     ; Y    ; M0   III       ;  ;
  1280;  HD   8879   ; 01 26 58.0; -32 32 32 ; 01 24 39.9; -32 48 05 ;    5.72;   11.54;    3.87;   -2.03;   -3.42;     ; V   ; Y    ; C6   II        ;  ;
  1281;  HD  29009   ; 04 33 54.6; -06 44 18 ; 04 31 28.3; -06 50 31 ;    5.72;   -0.59;   -0.13;        ;        ;     ;     ; Y    ; B9       Si   p;  ;
  1282;  HD  72968   ; 08 35 28.2; -07 58 55 ; 08 33 01.7; -07 48 30 ;    5.72;   -0.04;   -0.03;        ;        ;     ;     ; Y    ; A1      SrCrEup;  ;
  1283;  HD 111613   ; 12 51 17.8; -60 19 46 ; 12 48 18.9; -60 03 27 ;    5.72;    0.28;    0.38;    -0.4;   -0.69;     ; V   ; M    ; B9.5 Iab       ;  ;
  1284;  HD 131977   ; 14 57 24.1; -21 23 28 ; 14 54 32.3; -21 11 27 ;    5.72;    2.17;    1.11;   -0.98;   -1.53;    1;     ; M    ; K4   V         ;  ;
  1285;  HD 152173   ; 16 50 38.9; +29 48 22 ; 16 48 41.7; +29 53 25 ;    5.72;    3.52;     1.6;        ;        ;     ;     ; Y    ; M1   IIIa      ;  ;
  1286;  HD 170740   ; 18 31 25.6; -10 47 43 ; 18 28 39.2; -10 49 54 ;    5.72;   -0.21;    0.24;        ;        ;     ;     ; Y    ; B2   V         ;  ;
  1287;  HD  42111   ; 06 08 57.8; +02 29 58 ; 06 06 21.2; +02 30 31 ;    5.73;    0.13;    0.07;        ;        ;     ;     ; Y    ; A3   V      n  ;  ;
  1288;  HD  57646   ; 07 24 57.0; +51 53 14 ; 07 21 03.5; +51 59 09 ;    5.73;        ;        ;   -1.22;   -2.14;     ;     ; Y    ; K5   III       ;  ;
  1289;  HD  61294   ; 07 40 14.8; +38 20 39 ; 07 36 52.9; +38 27 37 ;    5.73;    3.58;    1.63;        ;        ;     ;     ; Y    ; M0   III       ;  ;
  1290;  HD 129846   ; 14 43 44.3; +40 27 31 ; 14 41 47.9; +40 40 11 ;    5.73;    3.02;    1.39;        ;        ;     ;     ; Y    ; K4   III       ;  ;
  1291;  HD 135160   ; 15 16 36.5; -60 54 13 ; 15 12 33.0; -60 43 11 ;    5.73;   -0.97;   -0.08;        ;        ;     ;     ; M    ; B1.5 V      n  ;  ;
  1292;  HD 145002   ; 16 08 28.0; +08 32 02 ; 16 06 03.2; +08 39 55 ;    5.73;     3.3;    1.61;        ;        ;     ; V   ; Y    ; M3.5 IIIa      ;  ;
  1293;  HD  26311   ; 04 10 58.9; +33 35 12 ; 04 07 46.0; +33 27 27 ;    5.74;    2.91;    1.46;   -1.05;   -1.84;     ;     ; Y    ; K1   II/III    ;  ;
  1294;  HD  45871   ; 06 28 39.1; -32 22 15 ; 06 26 47.4; -32 20 14 ;    5.74;   -0.82;   -0.17;        ;        ;     ; V   ; M    ; B5   IV        ;  ;
  1295;  HD  96813   ; 11 09 19.1; +36 18 33 ; 11 06 34.3; +36 34 50 ;    5.74;    3.01;    1.51;        ;        ;     ;     ; Y    ; M3.5 IIIab     ;  ;
  1296;  HD  97670   ; 11 13 30.8; -59 37 08 ; 11 11 20.4; -59 20 47 ;    5.74;   -0.81;    -0.1;        ;        ;     ;     ; M    ; B2   III       ;  ;
  1297;  HD 118508   ; 13 36 59.1; +24 36 46 ; 13 34 37.9; +24 52 02 ;    5.74;     3.4;    1.55;        ;        ;     ;     ; Y    ; M2   III       ;  ;
  1298;  HD 128333   ; 14 34 39.7; +49 22 02 ; 14 32 54.6; +49 35 07 ;    5.74;    3.44;    1.56;        ;        ;     ;     ; Y    ; M1   IIIab     ;  ;
  1299;  HD 129858   ; 14 46 29.2; -47 26 25 ; 14 43 07.7; -47 13 51 ;    5.74;    0.15;    0.07;        ;        ;     ;     ; M    ; A1   V         ;  ;
  1300;  HD 149661   ; 16 36 19.1; -02 19 04 ; 16 33 42.9; -02 13 01 ;    5.74;    1.26;    0.81;   -0.61;      -1;     ; V   ; Y    ; K2   V         ;  ;
  1301;  HD  42087   ; 06 09 43.9; +23 06 47 ; 06 06 41.7; +23 07 23 ;    5.75;   -0.42;    0.21;        ;        ;     ;     ; Y    ; B2.5 Ib        ;  ;
  1302;  HD  88661   ; 10 11 46.4; -58 03 37 ; 10 10 01.6; -57 48 46 ;    5.75;   -0.98;   -0.09;   -0.09;   -0.05;     ; V   ; M    ; B2  (V)     ne ;  ;
  1303;  HD 101606   ; 11 41 35.6; +31 44 41 ; 11 38 58.3; +32 01 20 ;    5.75;    0.33;    0.41;   -0.38;   -0.66; D   ;     ; Y    ; F4   V         ;  ;
  1304;  HD 124471A  ; 14 16 38.7; -66 35 15 ; 14 12 39.9; -66 21 21 ;    5.75;   -0.93;   -0.06;        ;        ;     ;     ; M    ; B2   III/IV    ;  ;
  1305;  HD 142926   ; 15 55 30.5; +42 33 56 ; 15 53 49.3; +42 42 37 ;    5.75;   -0.52;   -0.11;        ;        ;     ;     ; Y    ; B9           ep;  ;
  1306;  HD 167720   ; 18 17 11.5; -17 22 23 ; 18 14 16.9; -17 23 32 ;    5.75;    3.28;    1.58;        ;        ;     ;     ; M    ; K2   III       ;  ;
  1307;  HD 168608   ; 18 21 22.9; -18 51 34 ; 18 18 26.4; -18 53 01 ;    5.75;    1.56;    0.94;        ;        ;     ; V   ; M    ; F8   II        ;  ;
  1308;  HD 203338   ; 21 19 15.7; +58 37 24 ; 21 17 52.6; +58 24 40 ;    5.75;    1.34;    1.34;   -1.49;   -2.82; D   ;     ; Y    ; M1   Ib + B2 ep;  ;
  1309;  HD 224930   ; 00 02 06.9; +27 05 44 ; 23 59 33.1; +26 49 02 ;    5.75;    0.72;    0.67;   -0.59;   -1.02; D   ;     ; Y    ; G5   VbFe-2    ;  ;
  1310;  HD   4628   ; 00 48 20.3; +05 17 45 ; 00 45 45.3; +05 01 24 ;    5.76;    1.46;    0.88;   -0.77;   -1.24;     ;     ; Y    ; K2   V         ;  ;
  1311;  HD   9562   ; 01 33 42.1; -07 01 25 ; 01 31 11.7; -07 16 47 ;    5.76;    0.85;    0.64;        ;        ;     ;     ; Y    ; G2   IV        ;  ;
  1312;  HD  19832   ; 03 12 14.1; +27 15 25 ; 03 09 15.0; +27 04 10 ;    5.76;   -0.54;   -0.12;        ;        ;     ; V   ; Y    ; B9       Si   p;  ;
  1313;  HD  23432   ; 03 45 54.3; +24 33 17 ; 03 42 55.3; +24 23 58 ;    5.76;   -0.27;   -0.04;   -0.05;   -0.02;     ;     ; Y    ; B8   V         ;  ;
  1314;  HD  45572   ; 06 25 43.6; -48 10 29 ; 06 24 24.1; -48 08 40 ;    5.76;   -0.22;   -0.06;        ;        ;     ;     ; M    ; B9   V         ;  ;
  1315;  HD 142139   ; 15 56 06.0; -60 28 52 ; 15 51 52.0; -60 20 08 ;    5.76;    0.13;    0.06;        ;        ;     ;     ; C    ; A3   V         ;  ;
  1316;  HD   1032   ; 00 13 19.3; -84 59 38 ; 00 11 28.0; -85 16 19 ;    5.77;    3.82;    1.72;        ;        ;     ;     ; M    ; M0.5 III       ;  ;
  1317;  HD  61885   ; 07 41 51.9; +13 28 50 ; 07 39 03.6; +13 35 55 ;    5.77;    3.66;    1.67;        ;        ;     ;     ; Y    ; M2   IIIab     ;  ;
  1318;  HD 114780   ; 13 12 33.0; +11 33 22 ; 13 10 03.5; +11 49 16 ;    5.77;        ;    1.51;        ;        ;     ;     ; Y    ; M0   III       ;  ;
  1319;  HD 152408   ; 16 54 58.3; -41 09 02 ; 16 51 28.7; -41 04 14 ;    5.77;    -0.6;    0.15;        ;        ;     ;     ; M    ; WN             ;  ;
  1320;  HD 164402   ; 18 01 54.2; -22 46 48 ; 17 58 52.4; -22 46 50 ;    5.77;   -0.89;       0;   -0.03;   -0.08;     ;     ; M    ; B0   Iab/Ib    ;  ;
  1321;  HD 198726   ; 20 51 28.1; +28 15 00 ; 20 49 20.7; +28 03 42 ;    5.77;    1.12;    0.72;        ;        ;     ; V   ; Y    ; F5   Ib        ;  ;
  1322;  HD  22764   ; 03 42 42.6; +59 58 09 ; 03 38 34.3; +59 48 36 ;    5.78;    3.54;    1.76;   -1.32;   -2.34;    1;     ; Y    ; K3   IIb       ;  ;
  1323;  HD  36134   ; 05 29 23.6; -03 26 44 ; 05 26 53.9; -03 29 03 ;    5.78;    2.14;    1.15;   -0.83;    -1.4;     ;     ; Y    ; K1   III       ;  ;
  1324;  HD  53510   ; 07 05 38.9; +09 11 09 ; 07 02 54.7; +09 15 46 ;    5.78;    3.39;    1.52;        ;        ;     ;     ; Y    ; M0   III       ;  ;
  1325;  HD  64960   ; 07 56 59.4; +15 47 26 ; 07 54 09.1; +15 55 30 ;    5.78;        ;    1.28;        ;        ;     ;     ; Y    ; K3   III       ;  ;
  1326;  HD  94705   ; 10 56 01.5; +06 11 06 ; 10 53 25.7; +06 27 08 ;    5.78;    2.67;    1.46;   -2.25;   -4.34;     ; V   ; Y    ; M5.5 III       ;  ;
  1327;  HD 111469   ; 12 49 17.7; +27 33 06 ; 12 46 51.3; +27 49 26 ;    5.78;    0.09;    0.03;        ;        ;     ;     ; Y    ; A2   V         ;  ;
  1328;  HD 210129   ; 22 07 50.4; +21 42 12 ; 22 05 29.2; +21 27 30 ;    5.78;   -0.51;    -0.1;        ;        ;     ;     ; Y    ; B7   V      ne ;  ;
  1329;  HD  16417   ; 02 36 58.5; -34 34 27 ; 02 34 53.9; -34 47 26 ;    5.79;    0.88;    0.66;        ;        ;     ;     ; M    ; G1   V         ;  ;
  1330;  HD  20041   ; 03 15 47.9; +57 08 26 ; 03 11 57.0; +56 57 21 ;    5.79;    0.82;    0.73;        ;        ;     ;     ; Y    ; A0   Ia        ;  ;
  1331;  HD  84542   ; 09 46 09.9; +06 42 30 ; 09 43 31.7; +06 56 23 ;    5.79;     3.6;    1.64;        ;        ;     ;     ; Y    ; M1.5 IIIab     ;  ;
  1332;  HD 117187   ; 13 26 07.7; +72 23 29 ; 13 24 51.3; +72 39 02 ;    5.79;    3.53;    1.63;        ;        ;     ;     ; Y    ; M1   IIIab     ;  ;
  1333;  HD 133880   ; 15 08 12.1; -40 35 00 ; 15 04 56.9; -40 23 32 ;    5.79;   -0.54;   -0.14;        ;        ;     ;     ; C    ; B8   IV:       ;  ;
  1334;  HD 160263   ; 17 41 16.1; -46 55 17 ; 17 37 31.2; -46 53 47 ;    5.79;   -0.07;   -0.01;        ;        ;     ;     ; M    ; A0   V         ;  ;
  1335;  HD 188154   ; 19 54 08.1; -08 34 25 ; 19 51 25.4; -08 42 19 ;    5.79;    3.64;    1.64;        ;        ;     ;     ; Y    ; K5   III       ;  ;
  1336;  HD  17463   ; 02 51 58.7; +68 53 20 ; 02 47 28.8; +68 41 00 ;     5.8;    1.12;    0.64;        ;        ;     ;     ; Y    ; F5  :Ib/II     ;  ;
  1337;  HD  26591   ; 04 11 35.9; -20 21 24 ; 04 09 24.3; -20 29 05 ;     5.8;    0.25;    0.16;   -0.16;   -0.21;     ;     ; M    ; A1   V + (F/G) ;  ;
  1338;  HD  34989   ; 05 21 43.4; +08 25 42 ; 05 19 00.0; +08 22 50 ;     5.8;   -1.01;   -0.13;   -0.01;    0.12;     ;     ; Y    ; B1   V         ;  ;
  1339;  HD  61641   ; 07 38 43.8; -36 29 47 ; 07 36 55.0; -36 22 52 ;     5.8;   -0.86;   -0.16;        ;        ;     ;     ; M    ; B3   III       ;  ;
  1340;  HD 125180   ; 14 17 28.3; +15 15 46 ; 14 15 04.9; +15 29 36 ;     5.8;    3.78;    1.71;        ;        ;     ;     ; Y    ; M3   IIIa      ;  ;
